recruitment_id,department,job_title,num_applicants,time_to_hire_days,cost_per_hire,source,offer_acceptance_rate,source_group,job_level,applicants_per_day,cost_per_day,cost_per_applicant,applicants_efficiency,efficiency_ratio,acceptance_efficiency,high_cost_flag,long_hire_flag,dept_efficiency,cost_index,source_success,is_efficient,high_acceptance,log1p_time_to_hire_days,log1p_cost_per_hire,process_efficiency,cost_intensity,engagement_score,complexity_flag,salary_fit,employer_brand_score,job_match_score,interview_experience
1,Engineering,Software Engineer,280,24,1400.38,Referral,0.98,Internal,Mid,11.666666666666666,58.34916666666667,5.0013571428571435,11.2,0.0083251271365844,0.000699310679473,0,0,1.994811124948111,0.2659508621878235,0.6462861610633307,1,1,3.218875824868201,7.245212744391753,0.008,4.984,0.005,1,0.5,0.5,0.5,0.5
2,Sales,Account Executive,262,7,2730.45,Linkedin,0.84,External,Entry,37.42857142857143,390.0642857142857,10.421564885496185,32.75,0.0137028213690792,0.0003075289681304,0,0,6.758536585365854,0.5478755638785724,0.6457707203718048,1,1,2.0794415416798357,7.91258788270759,0.01,10.382,0.009,0,0.5,0.5,0.5,0.5
3,Product,UX Designer,11,76,5286.12,Linkedin,0.83,External,Mid,0.1447368421052631,69.55421052631579,480.5563636363637,0.1428571428571428,2.737536543624188e-05,0.0001569852774289,1,1,0.6087144089732528,0.9987945559051083,0.6457707203718048,0,1,4.343805421853684,8.573028953159639,0.0,440.51,0.0,1,0.5,0.5,0.5,0.5
4,Engineering,DevOps Engineer,238,26,5255.78,Recruiter,0.49,Agency,Mid,9.153846153846152,202.1453846153846,22.08310924369748,8.814814814814815,0.001741340926165,9.321295545942572e-05,1,0,1.841364115336718,0.9981428058594944,0.6583210483210483,0,0,3.295836866004329,8.567273950980468,0.001,21.991,0.001,1,0.5,0.5,0.5,0.5
5,HR,Talent Acquisition,275,37,4987.03,Linkedin,0.79,External,Mid,7.432432432432432,134.78459459459458,18.134654545454545,7.236842105263157,0.0014900536749843,0.0001583791597083,0,0,1.2373165358239986,0.9584545585948798,0.6457707203718048,1,1,3.6375861597263857,8.514796321216483,0.001,18.069,0.001,1,0.5,0.5,0.5,0.5
6,Marketing,Marketing Specialist,150,24,3679.99,Linkedin,0.82,External,Mid,6.25,153.33291666666665,24.533266666666663,6.0,0.0016979127897657,0.0002227661580172,0,0,1.992961364570489,0.6865699846631772,0.6457707203718048,1,1,3.218875824868201,8.210937016722248,0.001,24.371,0.001,1,0.5,0.5,0.5,0.5
7,Finance,Accountant,200,23,7261.14,Recruiter,0.89,Agency,Entry,8.695652173913043,315.7017391304348,36.3057,8.333333333333334,0.0011973952820949,0.0001225534071224,1,0,2.096107118854366,1.400427929338356,0.6583210483210483,0,1,3.1780538303479458,8.890429830224146,0.001,36.125,0.001,0,0.5,0.5,0.5,0.5
8,HR,HR Coordinator,278,38,9435.37,Recruiter,0.84,Agency,Entry,7.315789473684211,248.29921052631585,33.94017985611511,7.128205128205129,0.0007752758183161,8.901728100954073e-05,1,0,1.204755574354946,1.813378581746926,0.6583210483210483,0,1,3.6635616461296463,9.152326651289124,0.001,33.819,0.001,0,0.5,0.5,0.5,0.5
9,HR,Recruitment Specialist,221,69,5665.47,Job Portal,0.56,External,Mid,3.2028985507246377,82.10826086956521,25.63561085972851,3.157142857142857,0.0005652370083534,9.882695928858707e-05,1,1,0.6634885771809848,1.0888435698366632,0.6534822167080231,0,0,4.248495242049359,8.642321627885627,0.0,25.52,0.0,1,0.5,0.5,0.5,0.5
10,Sales,Business Development Manager,249,62,8363.04,Recruiter,0.6,Agency,Executive,4.016129032258065,134.8877419354839,33.58650602409639,3.952380952380953,0.0004801661675766,7.173566840904634e-05,1,1,0.7630605822187254,1.6780769674372564,0.6583210483210483,0,0,4.143134726391533,9.031696842937851,0.0,33.452,0.0,1,0.5,0.5,0.5,0.5
11,Sales,Sales Associate,10,48,6363.54,Referral,0.95,Internal,Entry,0.2083333333333333,132.57375,636.354,0.2040816326530612,3.2733447088608655e-05,0.000149264518724,1,1,0.9856199186991872,1.2768694045903974,0.6462861610633307,0,1,3.8918202981106265,8.75849723815208,0.0,578.504,0.0,0,0.5,0.5,0.5,0.5
12,Product,UX Designer,184,84,793.95,Recruiter,0.57,Agency,Mid,2.1904761904761907,9.451785714285714,4.314945652173913,2.164705882352941,0.0027554892640747,0.0007170262280646,0,1,0.5507416081186572,0.1500141763071706,0.6583210483210483,0,0,4.442651256490317,6.678279219594718,0.002,4.292,0.002,1,0.5,0.5,0.5,0.5
13,HR,Recruitment Specialist,116,75,1830.5,Job Portal,0.61,External,Mid,1.5466666666666666,24.406666666666663,15.780172413793103,1.5263157894736843,0.0008444808444808,0.0003330603330603,0,1,0.610409491006506,0.3518027903397268,0.6534822167080231,0,0,4.330733340286331,7.512890582218869,0.001,15.645,0.001,1,0.5,0.5,0.5,0.5
14,Product,UX Designer,258,69,8848.38,Linkedin,0.34,External,Mid,3.739130434782609,128.23739130434782,34.29604651162791,3.6857142857142855,0.0004225302150865,3.842077072066066e-05,1,1,0.6704680446661915,1.671871575480625,0.6457707203718048,0,0,4.248495242049359,9.08810267905073,0.0,34.164,0.0,1,0.5,0.5,0.5,0.5
15,Engineering,Backend Developer,27,65,5021.34,Job Portal,0.82,External,Mid,0.4153846153846154,77.25138461538462,185.97555555555556,0.4090909090909091,8.270738647415654e-05,0.000163270507373,0,1,0.7365456461346872,0.9536195192292132,0.6534822167080231,0,1,4.189654742026425,8.521651239536558,0.0,179.334,0.0,1,0.5,0.5,0.5,0.5
16,Marketing,Marketing Specialist,265,77,7864.88,Recruiter,0.54,Agency,Mid,3.4415584415584415,102.14129870129872,29.67879245283019,3.397435897435898,0.0004375299955705,6.865093288989916e-05,1,1,0.6211827629830096,1.4673383734677892,0.6583210483210483,0,0,4.356708826689592,8.970289697345258,0.0,29.567,0.0,1,0.5,0.5,0.5,0.5
17,HR,Recruitment Specialist,227,22,8432.99,Recruiter,0.39,Agency,Mid,10.318181818181818,383.31772727272727,37.14973568281938,9.869565217391305,0.0012234045591922,4.624145866902854e-05,1,0,2.0809414466130884,1.6207317196979036,0.6583210483210483,0,0,3.1354942159291497,9.04002524862878,0.0,36.987,0.001,1,0.5,0.5,0.5,0.5
18,Finance,Finance Manager,281,13,5662.71,Referral,0.95,Internal,Executive,21.615384615384617,435.5930769230769,20.15199288256228,20.071428571428573,0.0038164709378454,0.0001677345768056,1,0,3.708497210280801,1.0921449303750654,0.6462861610633307,0,1,2.6390573296152584,8.64183443349779,0.003,20.081,0.002,1,0.5,0.5,0.5,0.5
19,Marketing,Marketing Specialist,196,63,519.34,Referral,0.63,Internal,Mid,3.111111111111111,8.243492063492065,2.6496938775510204,3.0625,0.0059789966389497,0.0012107468193873,0,1,0.7592233769792339,0.0968924523802984,0.6462861610633307,0,0,4.1588830833596715,6.2544824440650535,0.004,2.636,0.004,1,0.5,0.5,0.5,0.5
20,Product,Product Manager,52,26,7115.17,Job Portal,0.48,External,Executive,2.0,273.6603846153846,136.8301923076923,1.9259259259259256,0.0002810500592312,6.745201421551199e-05,1,0,1.7793190416141234,1.3443873881673798,0.6534822167080231,0,0,3.295836866004329,8.870124938326112,0.0,134.248,0.0,1,0.5,0.5,0.5,0.5
21,Marketing,Social Media Manager,299,64,9648.83,Job Portal,0.51,External,Executive,4.671875,150.76296875,32.27033444816053,4.6,0.000484140653255,5.285067198074992e-05,1,1,0.7473605117139334,1.8001671377143973,0.6534822167080231,0,0,4.174387269895637,9.174695577597548,0.0,32.163,0.0,1,0.5,0.5,0.5,0.5
