recruitment_id,department,job_title,num_applicants,time_to_hire_days,cost_per_hire,source,offer_acceptance_rate,process_efficiency,cost_intensity,efficiency_ratio,complexity_flag,engagement_score,cost_index,dept_efficiency,cost_pressure,offer_readiness,process_intensity,efficiency_balance,applicant_density,operational_efficiency,is_referral,is_linkedin,is_recruiter,source_reputation,is_technical,is_hr_or_sales,role_efficiency_score,overall_efficiency_index,candidate_satisfaction
1,Engineering,Software Engineer,280,24,1400.38,Referral,0.98,1.7516533647471824,4.98355871886121,0.3514863799299372,1,0.7754122247302015,0.7768207444764066,0.7295962777275472,1087.8442341498703,0.5153847219843937,0.8758266823735912,0.3514863799299372,0.22553418677334983,0.020356791162996477,1,0,0,0.9,1,0,1.0947055656918554,-2.247502013735513,0.0
2,Sales,Account Executive,262,7,2730.45,LinkedIn,0.84,2.6796396630974346,10.381939163498098,0.2581058666200745,1,0.695517313306583,0.8312220847403258,0.6170145414846676,2269.610341279222,0.44366793529558013,1.3398198315487173,0.2581058666200745,0.6965192540222206,0.06268305295722053,0,1,0,0.5,0,1,1.5249241939941176,-6.347444466160292,0.0
3,Product,UX Designer,11,76,5286.12,LinkedIn,0.83,0.5720575413637166,440.51,0.0012986255478084,0,0.8005749356593117,1.058322836539557,0.7764278374541872,5594.421512688483,0.5810244477039379,0.5720575413637166,0.001298625547808429,0.032271514932311694,0.006588075937740784,0,1,0,0.5,1,0,0.7189571219181143,-183.59724394582966,0.0
4,Engineering,DevOps Engineer,238,26,5255.78,Recruiter,0.49,1.661630649386734,21.99071129707113,0.0755605651576843,1,0.8388692673450923,0.8239190010540957,0.8268884771581182,4330.3370073600945,0.516370308491601,0.830815324693367,0.07556056515768438,0.20283198340487077,0.0186136337791914,0,0,1,0.7,1,0,1.0788818678408025,-11.693979061174044,0.0
5,HR,Talent Acquisition,275,37,4987.03,LinkedIn,0.79,1.5450907879361155,18.06894927536232,0.085510821845744,1,0.6940500365814096,1.1668951457804952,0.723993768420333,5819.341098861703,0.4321624042457356,0.7725453939680578,0.08551082184574406,0.147905285939925,0.013258134711341055,0,1,0,0.5,0,1,0.9897435244941577,-7.300900668736558,0.0
6,Marketing,Marketing Specialist,150,24,3679.99,LinkedIn,0.82,1.5587056195373306,24.370794701986753,0.0639579289325486,0,0.7274319182752571,0.9893319563754496,0.726069789840438,3640.7317061420904,0.5482837707109641,1.5587056195373306,0.06395792893254863,0.20069119347259698,0.020135833023181265,0,1,0,0.5,0,0,1.1971737467207966,-15.340377810628592,0.0
7,Finance,Accountant,200,23,7261.14,Recruiter,0.89,1.668727212049284,36.125074626865675,0.0461930441138862,1,0.7688030939617697,1.0128392055916788,0.626484749575475,7354.367269289964,0.469362648214256,0.834363606024642,0.04619304411388628,0.22097103783579483,0.020902183562053794,0,0,1,0.7,0,0,1.0223090308972844,-16.85419360897302,0.0
8,HR,HR Coordinator,278,38,9435.37,Recruiter,0.84,1.537086672956748,33.81853046594983,0.0454510177209901,1,0.7856907580363122,0.958244054858816,0.6605822593535947,9041.387207893227,0.4800305565350224,0.768543336478374,0.04545101772099014,0.14439004568772731,0.012873499297304213,0,0,1,0.7,0,1,0.9667180142844525,-15.229576454528372,0.0
9,HR,Recruitment Specialist,221,69,5665.47,Job Portal,0.56,1.271668455315528,25.520135135135135,0.0498300028096144,1,0.702447294491586,1.1159271757815583,0.6464025909383738,6322.251936575147,0.432780536247357,0.635834227657764,0.049830002809614485,0.07718110545531827,0.00723109549936481,0,0,0,0.0,0,1,0.8297550049392761,-8.805225055385195,0.0
10,Sales,Business Development Manager,249,62,8363.04,Recruiter,0.6,1.3326771351872422,33.452160000000006,0.0398382972982595,1,0.8116401215499558,1.1174739831665517,0.7445063305984614,9345.4796201812,0.4956917998185053,0.6663385675936211,0.03983829729825951,0.08764223679146423,0.007996287660182141,0,0,1,0.7,0,1,0.8896904667731595,-14.3118007076377,0.0
